Time Limit,Genetic Time(s),Genetic Best Score,HillClimb Time(s),HillClimb Best Score
0.1,0.0789999961853,-69.0,0.106000185013,-675
0.1,0.131000041962,-49.0,0.109999895096,2
0.1,0.0490000247955,-22.0,0.104000091553,-601
0.1,0.0310001373291,-18,0.106000185013,-1065
0.1,0.0910000801086,-99.0,0.103000164032,-108.0
0.1,0.0710000991821,3.0,0.105999946594,-1592.0
0.1,0.153000116348,-46,0.105999946594,-134
0.1,0.0599999427795,-9,0.101999998093,-591.0
0.1,0.0769999027252,-42,0.105000019073,-1075.0
0.1,0.125999927521,-89.0,0.106000185013,-1084
0.15,0.109000205994,-32.0,0.154000043869,-713.0
0.15,0.0529999732971,-62,0.151999950409,-615
0.15,0.0220000743866,-80.0,0.154000043869,-227
0.15,0.143000125885,-41,0.161000013351,-26
0.15,0.0629999637604,-91.0,0.156000137329,-2114
0.15,0.118000030518,-58.0,0.154000043869,-2083
0.15,0.0950000286102,-57.0,0.153000116348,-1172
0.15,0.0930001735687,-40,0.151999950409,-617.0
0.15,0.0899999141693,-19,0.161999940872,-674.0
0.15,0.135999917984,-32.0,0.151999950409,-1595
0.5,0.444000005722,27,0.506999969482,-130
0.5,0.496000051498,41,0.506999969482,-536
0.5,0.459999799728,32,0.505000114441,-1016.0
0.5,0.439999818802,29,0.503000020981,-75.0
0.5,0.484000205994,52,0.503999948502,-103.0
0.5,0.306999921799,32,0.50400018692,-624.0
0.5,0.475000143051,35.0,0.503000020981,-106.0
0.5,0.34700012207,-27.0,0.501999855042,4.0
0.5,0.459000110626,41,0.503000020981,-1130.0
0.5,0.490999937057,0,0.508999824524,-48
1,0.97000002861,75.0,1.00499987602,-1047.0
1,0.930000066757,122,1.00600004196,-1005
1,0.990000009537,87.0,1.00500011444,-524.0
1,0.995000123978,82,1.01300001144,27.0
1,0.884999990463,68,1.00699996948,-976.0
1,0.963999986649,93,1.0070002079,-466.0
1,0.983999967575,128.0,1.0150001049,66.0
1,0.959000110626,106,1.00900006294,-29.0
1,0.985000133514,89.0,1.00999999046,-1009.0
1,0.986000061035,95,1.00900006294,-7
2,1.94900012016,138.0,2.00400018692,-996.0
2,1.93200016022,176.0,2.00699996948,-479
2,1.97300004959,162,2.007999897,113.0
2,1.98000001907,147,2.00899982452,87
2,1.9880001545,168.0,2.00699996948,65.0
2,1.87999987602,158.0,2.00600004196,17.0
2,1.86899995804,151,2.01300001144,107.0
2,1.96100020409,153.0,2.00600004196,40.0
2,1.96799993515,168,2.01300001144,143.0
2,1.94000005722,160,2.00599980354,-376.0
3,2.91100001335,170,3.00699996948,133.0
3,2.98099994659,162,3.00499987602,160.0
3,2.9509999752,183.0,3.00600004196,157.0
3,3.0,203.0,3.0039999485,164.0
3,2.89700007439,173.0,3.00400018692,172.0
3,2.99499988556,193.0,3.0039999485,130.0
3,3.0,180.0,3.0039999485,211.0
3,3.00099992752,165.0,3.00499987602,148.0
3,2.98199987411,202.0,3.00499987602,181.0
3,2.98799991608,174,3.0039999485,147.0
4,4.00199985504,187.0,3.27399992943,209.0
4,3.97300004959,183.0,3.96899986267,182.0
4,3.86199998856,189,3.39199995995,201.0
4,3.96600008011,190.0,3.33399987221,219.0
4,3.97499990463,191.0,3.27499985695,215.0
4,3.97399997711,202.0,3.57899999619,191.0
4,3.95499992371,198.0,3.41500020027,209.0
4,3.98000001907,200.0,3.7009999752,184.0
4,4.00099992752,198.0,3.50200009346,187.0
4,3.97600007057,184.0,3.89599990845,206.0
5,4.95000004768,199.0,4.55599999428,162.0
5,4.98399996758,205.0,3.4960000515,198.0
5,4.97900009155,198.0,5.00300002098,183.0
5,4.93499994278,187.0,4.98399996758,207.0
5,4.97699999809,193.0,3.65200018883,204.0
5,4.96000003815,194.0,3.58800005913,198.0
5,4.99799990654,197.0,3.55499982834,206.0
5,4.91600012779,181.0,3.58099985123,198.0
5,5.00300002098,203.0,3.71399998665,203.0
5,5.00099992752,198.0,4.53600001335,208.0
6,5.992000103,183.0,3.85899996758,187.0
6,6.00099992752,205.0,3.40299987793,179.0
6,6.00300002098,187.0,3.43700003624,194.0
6,5.97699999809,207.0,4.00500011444,189.0
6,5.48300004005,168,6.00299978256,186.0
6,5.97699999809,196.0,3.69699978828,193.0
6,5.97699999809,192,3.75500011444,208.0
6,5.95600008965,195.0,3.53699994087,197.0
6,5.98599982262,217.0,3.47699999809,182.0
6,6.00200009346,203.0,3.49500012398,216.0
7,6.99400019646,203.0,5.63700008392,191.0
7,6.98900008202,184.0,7.00200009346,161.0
7,6.66199994087,191,6.57500004768,217.0
7,6.94799995422,189.0,3.46899986267,192.0
7,7.02099990845,188.0,6.35100007057,216.0
7,6.99499988556,194.0,3.72899985313,213.0
7,7.00300002098,214.0,4.06500005722,201.0
7,6.93700003624,195.0,4.97299981117,208.0
7,6.98000001907,205.0,3.91499996185,196.0
7,7.0,211.0,4.47500014305,211.0
8,7.99699997902,208.0,7.29200005531,220.0
8,8.00500011444,198.0,7.19099998474,207.0
8,8.00200009346,199.0,4.49800014496,199.0
8,7.96399998665,191.0,5.22600007057,199.0
8,7.9509999752,194.0,4.61199998856,213.0
8,7.88700008392,198,4.98799991608,187
8,8.00300002098,211.0,4.15700006485,205.0
8,8.0,208.0,4.52699995041,196.0
8,7.97499990463,219.0,4.21000003815,220.0
8,8.0039999485,217.0,4.36100006104,199.0
9,8.99699997902,213.0,4.28299999237,224.0
9,8.99799990654,194.0,3.85899996758,219.0
9,8.8259999752,211.0,4.16100001335,208.0
9,8.99799990654,199.0,7.53900003433,216.0
9,7.36600017548,193,7.20200014114,166.0
9,8.81999993324,199,8.18799996376,191.0
9,9.00900006294,197.0,4.78799986839,206
9,8.99599981308,204.0,3.75199985504,207.0
9,9.00199985504,223.0,7.06599998474,204.0
9,9.00300002098,201.0,4.81900000572,182.0
10,9.94499993324,210.0,5.75600004196,213.0
10,9.79299998283,185.0,8.1819999218,203.0
10,9.58999991417,200,7.92900013924,204.0
10,9.97999978065,191.0,7.0039999485,221.0
10,9.9350001812,191.0,6.66299986839,210.0
10,9.98199987411,203.0,8.15599989891,225.0
10,9.9960000515,194.0,8.9509999752,166.0
10,9.95199990273,189.0,8.37399983406,184.0
10,9.07100009918,187,7.81100010872,207.0
10,9.99700021744,202.0,7.0,209.0
