Time Limit,Genetic Time(s),Genetic Best Score,HillClimb Time(s),HillClimb Best Score,,,,Max Run Time,Max Top Score After 10 Runs Genetic,,,Max Top Score After 10 Runs Hill Climbing,,
0.1,0.065999985,-93,0.105000019,-649,,-33,A2,0.1,-33,C2,C11,3,E2,E11
0.1,0.070000172,-61,0.105000019,-730,,-6,A12,0.25,-6,C12,C21,1,E12,E21
0.1,0.075999975,-96,0.108999968,-1039,,30,A22,0.5,30,C22,C31,-23,E22,E31
0.1,0.132999897,-75,0.105000019,3,,,A32,1,85,C32,C41,-50,E32,E41
0.1,0.009000063,-33,0.105999947,-206,,,A42,2,166,C42,C51,109,E42,E51
0.1,0.184999943,-83,0.10800004,-603,,,A52,3,201,C52,C61,115,E52,E61
0.1,0.072999954,-96,0.110000134,-1012,,,A62,4,219,C62,C71,204,E62,E71
0.1,0.036000013,-98,0.111999989,-1137,,,A72,5,242,C72,C81,259,E72,E81
0.1,0.06400013,-136,0.107999802,-31,,,A82,6,250,C82,C91,268,E82,E91
0.1,0.144000053,-78,0.106000185,-1090,,,A92,7,249,C92,C101,264,E92,E101
0.25,0.218999863,-81,0.254000187,-651,,,A102,8,265,C102,C111,266,E102,E111
0.25,0.211999893,-58,0.253999949,-107,,,A112,9,260,C112,C121,282,E112,E121
0.25,0.115999937,-60,0.273999929,1,,,A122,10,261,C122,C131,281,E122,E131
0.25,0.222000122,-6,0.257000208,-572,,,,,,,,,,
0.25,0.164000034,-60,0.254999876,-1071,,,,,,,,,,
0.25,0.241999865,-41,0.255999804,-1581,,,,,,,,,,
0.25,0.187999964,-112,0.256999969,-118,,,,,,,,,,
0.25,0.209000111,-69,0.257999897,-1197,,,,,,,,,,
0.25,0.226000071,-110,0.256999969,-2204,,,,,,,,,,
0.25,0.223999977,-121,0.256000042,-1605,,,,,,,,,,
0.5,0.476000071,-18,0.504999876,-2090,,,,,,,,,,
0.5,0.249000072,30,0.506000042,-1156,,,,,,,,,,
0.5,0.413000107,-93,0.510999918,-577,,,,,,,,,,
0.5,0.407999992,-5,0.509000063,-1048,,,,,,,,,,
0.5,0.479000092,-5,0.511000156,-1124,,,,,,,,,,
0.5,0.377999783,-21,0.505000114,-175,,,,,,,,,,
0.5,0.440999985,-16,0.503999949,-1588,,,,,,,,,,
0.5,0.437999964,-23,0.513999939,-23,,,,,,,,,,
0.5,0.377000093,-18,0.503999949,-1067,,,,,,,,,,
0.5,0.455999851,-5,0.503999949,-111,,,,,,,,,,
1,0.951999903,38,1.004999876,-1039,,,,,,,,,,
1,0.930000067,85,1.006000042,-2046,,,,,,,,,,
1,0.967999935,33,1.006999969,-73,,,,,,,,,,
1,0.921999931,31,1.00999999,-591,,,,,,,,,,
1,1.003999949,-38,1.00999999,-188,,,,,,,,,,
1,1.003000021,20,1.00999999,-1640,,,,,,,,,,
1,0.834000111,35,1.010999918,-1058,,,,,,,,,,
1,0.889999866,19,1.014999866,-502,,,,,,,,,,
1,0.986999989,29,1.006000042,-550,,,,,,,,,,
1,0.899000168,48,1.004999876,-50,,,,,,,,,,
2,1.963000059,114,2.010999918,4,,,,,,,,,,
2,1.92599988,166,2.005000114,-520,,,,,,,,,,
2,1.967999935,137,2.003000021,-54,,,,,,,,,,
2,1.930000067,103,2.015000105,59,,,,,,,,,,
2,1.899999857,103,2.012000084,-517,,,,,,,,,,
2,1.781999826,149,2.006000042,-1541,,,,,,,,,,
2,1.967999935,144,2.008000135,-1501,,,,,,,,,,
2,2.002000093,127,2.021000147,109,,,,,,,,,,
2,1.76699996,127,2.020999908,-424,,,,,,,,,,
2,1.957000017,150,2.00999999,-507,,,,,,,,,,
3,2.900000095,173,3.010999918,98,,,,,,,,,,
3,2.9599998,137,3.008000135,48,,,,,,,,,,
3,2.970999956,152,3.006999969,-885,,,,,,,,,,
3,2.981999874,186,3.006999969,-514,,,,,,,,,,
3,2.970999956,173,3.009000063,-430,,,,,,,,,,
3,2.927000046,125,3.003000021,66,,,,,,,,,,
3,2.813000202,135,3.013999939,115,,,,,,,,,,
3,2.995000124,170,3.013000011,-5,,,,,,,,,,
3,2.997999907,162,3.006999969,105,,,,,,,,,,
3,2.976999998,201,3.012000084,64,,,,,,,,,,
4,3.907000065,208,4.003000021,135,,,,,,,,,,
4,3.994000196,203,4.009000063,204,,,,,,,,,,
4,3.963999987,202,4.006000042,159,,,,,,,,,,
4,4.000999928,199,4.015000105,187,,,,,,,,,,
4,3.944000006,205,4.011999846,137,,,,,,,,,,
4,3.945000172,184,4.003000021,-352,,,,,,,,,,
4,3.994999886,219,4.006999969,191,,,,,,,,,,
4,3.879999876,199,4.005000114,154,,,,,,,,,,
4,3.898000002,205,4.006999969,-381,,,,,,,,,,
4,3.930999994,215,4.004999876,156,,,,,,,,,,
5,4.946000099,242,5.003000021,213,,,,,,,,,,
5,4.868000031,214,5.003000021,198,,,,,,,,,,
5,4.866999865,227,5.003999949,174,,,,,,,,,,
5,4.968000174,212,5.000999928,239,,,,,,,,,,
5,4.947999954,223,5.003999949,143,,,,,,,,,,
5,5.003999949,242,5.002000093,134,,,,,,,,,,
5,4.875999928,182,5.012000084,177,,,,,,,,,,
5,4.993999958,199,5.003000021,200,,,,,,,,,,
5,4.980000019,225,4.985000134,209,,,,,,,,,,
5,4.977999926,225,4.890000105,259,,,,,,,,,,
6,6,220,5.250999928,265,,,,,,,,,,
6,5.992999792,225,5.170000076,261,,,,,,,,,,
6,5.97300005,244,5.137000084,268,,,,,,,,,,
6,5.933000088,212,6.006999969,170,,,,,,,,,,
6,5.962000132,250,5.145000219,255,,,,,,,,,,
6,5.988999844,215,5.417000055,254,,,,,,,,,,
6,5.963999987,231,5.121000052,255,,,,,,,,,,
6,5.927000046,235,5.013000011,268,,,,,,,,,,
6,5.990999937,214,5.366999865,239,,,,,,,,,,
6,5.870000124,246,5.062000036,257,,,,,,,,,,
7,6.976000071,249,5.559000015,253,,,,,,,,,,
7,7,236,5.487999916,254,,,,,,,,,,
7,6.947999954,222,5.351000071,218,,,,,,,,,,
7,6.991999865,194,5.287999868,261,,,,,,,,,,
7,6.987999916,235,5.289999962,264,,,,,,,,,,
7,6.993999958,247,5.366999865,188,,,,,,,,,,
7,7.000999928,247,5.065000057,241,,,,,,,,,,
7,6.915999889,246,5.177000046,216,,,,,,,,,,
7,6.919000149,220,5.73300004,236,,,,,,,,,,
7,6.92200017,241,5.825000048,243,,,,,,,,,,
8,8.002000093,226,5.268000126,243,,,,,,,,,,
8,8.002000093,224,5.242000103,255,,,,,,,,,,
8,7.976999998,243,5.143000126,266,,,,,,,,,,
8,8.002000093,245,5.00999999,227,,,,,,,,,,
8,7.996999979,239,5.244999886,257,,,,,,,,,,
8,7.992000103,265,5.02699995,258,,,,,,,,,,
8,7.991999865,238,5.68900013,248,,,,,,,,,,
8,8.002000093,251,5.142999887,222,,,,,,,,,,
8,7.934000015,225,5.363000155,247,,,,,,,,,,
8,8.007999897,248,5.441000223,254,,,,,,,,,,
9,9.001999855,245,4.980000019,260,,,,,,,,,,
9,9,254,5.319999933,219,,,,,,,,,,
9,8.996999979,247,5.286000013,244,,,,,,,,,,
9,9.001999855,241,5.177999973,282,,,,,,,,,,
9,8.990999937,251,5.623999834,238,,,,,,,,,,
9,9.003000021,250,5.717000008,245,,,,,,,,,,
9,8.981000185,260,5.394999981,229,,,,,,,,,,
9,9,247,5.154000044,245,,,,,,,,,,
9,8.988000155,251,5.323999882,252,,,,,,,,,,
9,8.965000153,230,5.139000177,268,,,,,,,,,,
10,10.00099993,248,5.426000118,264,,,,,,,,,,
10,10.00400019,248,5.277999878,272,,,,,,,,,,
10,9.927000046,246,5.101999998,254,,,,,,,,,,
10,9.996000052,256,5.457000017,261,,,,,,,,,,
10,9.978999853,261,5.194999933,256,,,,,,,,,,
10,9.995000124,255,10.00499988,252,,,,,,,,,,
10,9.998999834,245,5.134000063,252,,,,,,,,,,
10,9.996000052,240,6.600000143,281,,,,,,,,,,
10,9.896000147,231,5.46999979,239,,,,,,,,,,
10,9.985000134,247,5.118000031,257,,,,,,,,,,
