Time Limit,Genetic Time(s),Genetic Best Score,HillClimb Time(s),HillClimb Best Score
0.1,0.0490000247955,-114.0,1,-10000
0.1,0.161999940872,-104.0,1,-10000
0.1,0.0150001049042,-103.0,1,-10000
0.1,0.134000062943,-123.0,1,-10000
0.1,0.105000019073,-145.0,1,-10000
0.1,0.0,-110.0,1,-10000
0.1,0.0169999599457,-190.0,1,-10000
0.1,0.185000181198,-154.0,1,-10000
0.1,0.126999855042,-120.0,1,-10000
0.1,0.15499997139,-123.0,1,-10000
0.25,0.246999979019,-107.0,1,-10000
0.25,0.239000082016,-176.0,1,-10000
0.25,0.246000051498,-150.0,1,-10000
0.25,0.228999853134,-129.0,1,-10000
0.25,0.018000125885,36.0,1,-10000
0.25,0.236999988556,-197,1,-10000
0.25,0.010999917984,-218,1,-10000
0.25,0.0729999542236,-97,1,-10000
0.25,0.108000040054,-134.0,1,-10000
0.25,0.248999834061,-113.0,1,-10000
0.5,0.47000002861,-26,1,-10000
0.5,0.491000175476,-1.0,1,-10000
0.5,0.473999977112,-83.0,1,-10000
0.5,0.319000005722,-111,1,-10000
0.5,0.425999879837,-152,1,-10000
0.5,0.290999889374,-92.0,1,-10000
0.5,0.464999914169,-16,1,-10000
0.5,0.487999916077,-67.0,1,-10000
0.5,0.494999885559,-76.0,1,-10000
0.5,0.49799990654,-102.0,1,-10000
1,0.901000022888,-35.0,1,-10000
1,0.999000072479,18.0,1,-10000
1,1.00099992752,28.0,1,-10000
1,0.976000070572,-133.0,1,-10000
1,0.953999996185,-53.0,1,-10000
1,0.996999979019,65.0,1,-10000
1,0.926000118256,8.0,1,-10000
1,0.931999921799,14.0,1,-10000
1,0.891000032425,-52.0,1,-10000
1,0.857000112534,12,1,-10000
2,1.84200000763,114.0,1,-10000
2,1.97899985313,69.0,1,-10000
2,1.94000005722,88.0,1,-10000
2,1.95900011063,176.0,1,-10000
2,1.97300004959,136.0,1,-10000
2,2.00300002098,92,1,-10000
2,1.89400005341,108.0,1,-10000
2,1.9889998436,93.0,1,-10000
2,1.96199989319,134,1,-10000
2,1.92100000381,136.0,1,-10000
3,2.9889998436,193,1,-10000
3,2.9960000515,173.0,1,-10000
3,2.91400003433,210.0,1,-10000
3,2.98400020599,192.0,1,-10000
3,2.91799998283,199.0,1,-10000
3,2.76800012589,137.0,1,-10000
3,2.93600010872,188.0,1,-10000
3,2.93600010872,161,1,-10000
3,2.90599989891,183.0,1,-10000
3,2.79499983788,120,1,-10000
4,3.97799992561,237.0,1,-10000
4,3.98099994659,210.0,1,-10000
4,3.89899992943,230,1,-10000
4,3.98699998856,261.0,1,-10000
4,4.00100016594,206.0,1,-10000
4,3.382999897,166,1,-10000
4,3.99900007248,252.0,1,-10000
4,3.80700016022,183,1,-10000
4,3.83699989319,219.0,1,-10000
4,3.92899990082,227.0,1,-10000
5,4.9240000248,257.0,1,-10000
5,4.99900007248,260.0,1,-10000
5,4.83899998665,235,1,-10000
5,4.99900007248,241.0,1,-10000
5,4.9430000782,220.0,1,-10000
5,5.00099992752,213.0,1,-10000
5,4.96399998665,258.0,1,-10000
5,4.84800004959,298.0,1,-10000
5,4.90200018883,237,1,-10000
5,4.92499995232,242.0,1,-10000
6,5.98399996758,268.0,1,-10000
6,5.79700016975,247,1,-10000
6,5.98500013351,266,1,-10000
6,5.9399998188,249.0,1,-10000
6,5.82699990273,246,1,-10000
6,5.98900008202,247.0,1,-10000
6,5.97699999809,268.0,1,-10000
6,5.98999977112,290.0,1,-10000
6,5.84599995613,249,1,-10000
6,5.97799992561,252.0,1,-10000
7,6.87599992752,227.0,1,-10000
7,6.99500012398,290.0,1,-10000
7,6.96200013161,264.0,1,-10000
7,6.9509999752,292.0,1,-10000
7,6.89499998093,293.0,1,-10000
7,6.72800016403,283.0,1,-10000
7,6.90400004387,285.0,1,-10000
7,6.92599987984,252,1,-10000
7,6.70899987221,273,1,-10000
7,6.96100020409,294.0,1,-10000
8,7.96300005913,284.0,1,-10000
8,7.90499997139,281.0,1,-10000
8,7.99500012398,302.0,1,-10000
8,7.90899991989,289.0,1,-10000
8,8.00099992752,264.0,1,-10000
8,7.9430000782,282.0,1,-10000
8,7.81500005722,315,1,-10000
8,7.98600006104,318.0,1,-10000
8,7.93799996376,291.0,1,-10000
8,7.92599987984,252.0,1,-10000
9,8.992000103,278.0,1,-10000
9,8.84900021553,315.0,1,-10000
9,8.95600008965,299.0,1,-10000
9,8.99199986458,298.0,1,-10000
9,8.98600006104,312,1,-10000
9,8.91499996185,273.0,1,-10000
9,8.99099993706,322,1,-10000
9,8.9470000267,310.0,1,-10000
9,9.00400018692,302.0,1,-10000
9,8.95700001717,329.0,1,-10000
10,9.99100017548,313.0,1,-10000
10,9.89599990845,301.0,1,-10000
10,9.99300003052,309.0,1,-10000
10,9.97600007057,342.0,1,-10000
10,9.62800002098,307,1,-10000
10,9.51099991798,321,1,-10000
10,9.98300004005,287.0,1,-10000
10,9.98799991608,334.0,1,-10000
10,9.93799996376,295.0,1,-10000
10,9.99900007248,309.0,1,-10000
