Time Limit,Genetic Time(s),Genetic Best Score,HillClimb Time(s),HillClimb Best Score,,,,Max Run Time,Max Top Score After 10 Runs Genetic,,,Max Top Score After 10 Runs Hill Climbing,,
0.1,0.049000025,-156,0.103000164,-2142,,-12,A2,0.1,-12,C2,C11,-661,E2,E11
0.1,0.242999792,-121,0.107000113,-1215,,-48,A12,0.25,-48,C12,C21,-632,E12,E21
0.1,0.154000044,-158,0.104000092,-2240,,-10,A22,0.5,-10,C22,C31,-217,E22,E31
0.1,0.219000101,-115,0.105000019,-1567,,,A32,1,83,C32,C41,-38,E32,E41
0.1,0.147000074,-12,0.10800004,-1149,,,A42,2,163,C42,C51,-25,E42,E51
0.1,0.148999929,-151,0.109999895,-661,,,A52,3,195,C52,C61,-388,E52,E61
0.1,0.20600009,-51,0.102999926,-1707,,,A62,4,257,C62,C71,141,E62,E71
0.1,0.230000019,-136,0.108999968,-1568,,,A72,5,295,C72,C81,246,E72,E81
0.1,0.085999966,-28,0.105999947,-1674,,,A82,6,299,C82,C91,277,E82,E91
0.1,0.203999996,-135,0.107000113,-679,,,A92,7,309,C92,C101,330,E92,E101
0.25,0.138000011,-168,0.254999876,-1656,,,A102,8,316,C102,C111,350,E102,E111
0.25,0.23300004,-220,0.257999897,-2146,,,A112,9,316,C112,C121,370,E112,E121
0.25,0.085999966,-147,0.258000135,-2097,,,A122,10,330,C122,C131,368,E122,E131
0.25,0.066999912,-190,0.258000135,-723,,,,,,,,,,
0.25,0.016000032,-100,0.25999999,-1690,,,,,,,,,,
0.25,0.286000013,-94,0.256999969,-632,,,,,,,,,,
0.25,0.251999855,-82,0.256000042,-1189,,,,,,,,,,
0.25,0.004000187,-83,0.271000147,-1111,,,,,,,,,,
0.25,0.042000055,-48,0.256999969,-1143,,,,,,,,,,
0.25,0.252000093,-637,0.261000156,-1090,,,,,,,,,,
0.5,0.494000196,-88,0.509000063,-591,,,,,,,,,,
0.5,0.5,-125,0.504000187,-1688,,,,,,,,,,
0.5,0.428000212,-95,0.500999928,-1063,,,,,,,,,,
0.5,0.476999998,-83,0.505000114,-1114,,,,,,,,,,
0.5,0.49000001,-28,0.505000114,-2714,,,,,,,,,,
0.5,0.48300004,-10,0.50999999,-1649,,,,,,,,,,
0.5,0.470999956,-94,0.506000042,-1222,,,,,,,,,,
0.5,0.458000183,-85,0.506000042,-1599,,,,,,,,,,
0.5,0.487999916,-80,0.506000042,-1622,,,,,,,,,,
0.5,0.173999786,-104,0.513999939,-217,,,,,,,,,,
1,0.927000046,42,1.006999969,-38,,,,,,,,,,
1,0.980000019,-10,1.007999897,-1087,,,,,,,,,,
1,0.950999975,-19,1.013000011,-1142,,,,,,,,,,
1,0.989000082,13,1.005999804,-491,,,,,,,,,,
1,0.976999998,25,1.007999897,-582,,,,,,,,,,
1,0.988000154,81,1.007999897,-1945,,,,,,,,,,
1,0.993999958,38,1.004999876,-1230,,,,,,,,,,
1,0.955000162,13,1.004999876,-592,,,,,,,,,,
1,0.996999979,-5,1.007000208,-1525,,,,,,,,,,
1,0.930999994,83,1.009000063,-1135,,,,,,,,,,
2,1.944999933,145,2.032999992,-525,,,,,,,,,,
2,1.892999887,105,2.014000177,-25,,,,,,,,,,
2,1.862999916,146,2.006000042,-1075,,,,,,,,,,
2,1.689999819,120,2.022000074,-445,,,,,,,,,,
