Time Limit,Genetic Time(s),Genetic Best Score,HillClimb Time(s),HillClimb Best Score
0.1,0.0889999866486,-107.0,0.111999988556,-2141.0
0.1,0.258000135422,-99.0,0.125,-2227.0
0.1,0.233000040054,-202.0,0.108999967575,-2155.0
0.25,0.0930001735687,-163,0.256999969482,-1707.0
0.25,0.240000009537,-122,0.257999897003,-1650.0
0.25,0.169999837875,-16.0,0.258000135422,-1634.0
0.5,0.477999925613,-9.0,0.506999969482,-664.0
0.5,0.473000049591,-53.0,0.506999969482,-600.0
0.5,0.496999979019,-77.0,0.509999990463,-618.0
1,0.898000001907,43.0,1.02799987793,-1045.0
1,0.912000179291,-3,1.01400017738,-1498.0
1,0.952999830246,6,1.01200008392,-713.0
2,1.83899998665,107.0,2.03299999237,-1077.0
2,1.8679997921,22.0,2.0119998455,-463
2,1.99000000954,67.0,2.01099991798,-1998.0
3,2.99699997902,108.0,3.00800013542,-497.0
3,2.9960000515,150.0,3.00999999046,-966.0
3,2.98199987411,207.0,3.0039999485,-528.0
4,3.98299980164,216.0,4.00900006294,-1404.0
4,3.56599998474,241.0,4.0119998455,-536
4,3.81200003624,198.0,4.01300001144,-1457.0
5,4.93200016022,268.0,5.02100014687,-351.0
5,4.97799992561,261.0,5.01400017738,-373.0
5,4.97200012207,219.0,5.00900006294,103.0
6,5.92200016975,257.0,6.01399993896,214.0
6,5.98100018501,251.0,6.0119998455,-300.0
6,5.97300004959,235,6.0070002079,-275.0
7,6.9889998436,287,7.03999996185,-462.0
7,6.99399995804,257.0,7.00600004196,268.0
7,6.97199988365,252,7.00699996948,242.0
8,7.94899988174,301.0,8.00300002098,219.0
8,7.71000003815,271,8.01200008392,256.0
8,7.882999897,302.0,8.00800013542,332.0
9,8.98399996758,253,8.39599990845,372.0
9,9.00099992752,311.0,8.15199995041,376.0
9,9.00400018692,269.0,7.88800001144,366.0
10,9.92700004578,307.0,8.02999997139,354.0
10,9.89400005341,280.0,7.97099995613,364.0
10,9.99900007248,314.0,8.05999994278,355.0
